ruta,curso,slug,objetivo_profesional,conceptos_teoricos,modulos_recomendados,caso_practico,producto_final,fuentes_base
Contenido Plus,Astronomía General para Curiosos,astronomia_general_curiosos_v0_6_publica,observación del cielo y lectura crítica de noticias astronómicas,sistema solar; estrellas; galaxias; escalas cósmicas; telescopios; eclipses; movimiento aparente; cosmología; exoplanetas; método científico,"Problema que resuelve el curso y contexto profesional | Fundamentos: sistema solar, estrellas, galaxias, escalas cósmicas | Conceptos intermedios: telescopios, eclipses, movimiento aparente | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Astronomía General para Curiosos' para resolver un problema concreto.",guía de observación inicial + glosario astronómico,"NASA, ESA, OpenStax Astronomy, IAU"
"Ruta 3 - Datos, BI y Herramientas",Tableau para Visualización de Datos,tableau_visualizacion_datos_web_v0_6_publica,"crear vistas, dashboards e historias visuales",dimensiones; medidas; visual analytics; vistas; dashboards; filtros; mapas; jerarquías; historias; buenas prácticas visuales,"Problema que resuelve el curso y contexto profesional | Fundamentos: dimensiones, medidas, visual analytics, vistas | Conceptos intermedios: dashboards, filtros, mapas | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Tableau para Visualización de Datos' para resolver un problema concreto.",dashboard interactivo básico,"Tableau Learn, Tableau Analyst Learning Path"
Ruta 4 - Emprendimiento y Finanzas,"Costos, Precios y Rentabilidad",costos_precios_rentabilidad_v0_6_publica,"calcular costos, margen, punto de equilibrio y rentabilidad real",costo fijo; costo variable; margen bruto; margen neto; punto de equilibrio; contribución marginal; precio; descuento; stock; flujo de caja,"Problema que resuelve el curso y contexto profesional | Fundamentos: costo fijo, costo variable, margen bruto, margen neto | Conceptos intermedios: punto de equilibrio, contribución marginal, precio | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Costos, Precios y Rentabilidad' para resolver un problema concreto.",calculadora de precios y margen,"SBA business guide, SCORE, accounting fundamentals"
Ruta 4 - Emprendimiento y Finanzas,Educación Financiera Básica Argentina,educacion_financiera_basica_argentina_v0_6_publica,"organizar presupuesto, deuda, ahorro y riesgos",problema central; contexto de uso; conceptos esenciales; buenas prácticas; riesgos y límites; criterios de decisión; errores frecuentes; caso práctico; actividad aplicada; evaluación,"Problema que resuelve el curso y contexto profesional | Fundamentos: problema central, contexto de uso, conceptos esenciales, buenas prácticas | Conceptos intermedios: riesgos y límites, criterios de decisión, errores frecuentes | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Educación Financiera Básica Argentina' para resolver un problema concreto.",presupuesto mensual y plan de deuda,"OECD/INFE, BCRA educación financiera, CNV Argentina"
Ruta 4 - Emprendimiento y Finanzas,Emprendimiento Barrial,emprendimiento_barrial_web_v0_6_publica,validar una oportunidad local con bajo presupuesto,IA generativa; modelo de lenguaje; prompt; alucinación; sesgo; privacidad; supervisión humana; automatización; riesgo; validación,"Problema que resuelve el curso y contexto profesional | Fundamentos: IA generativa, modelo de lenguaje, prompt, alucinación | Conceptos intermedios: sesgo, privacidad, supervisión humana | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Emprendimiento Barrial' para resolver un problema concreto.",canvas barrial + plan de validación,"SBA, Lean Startup concepts, Canvas business model"
Ruta 4 - Emprendimiento y Finanzas,Marketing Digital Barrial,marketing_digital_barrial_v0_6_publica,atraer clientes locales con contenido y reputación,IA generativa; modelo de lenguaje; prompt; alucinación; sesgo; privacidad; supervisión humana; automatización; riesgo; validación,"Problema que resuelve el curso y contexto profesional | Fundamentos: IA generativa, modelo de lenguaje, prompt, alucinación | Conceptos intermedios: sesgo, privacidad, supervisión humana | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Marketing Digital Barrial' para resolver un problema concreto.",calendario de publicaciones local,"Meta Business Help, Google Business Profile, marketing fundamentals"
Ruta 4 - Emprendimiento y Finanzas,Monotributo y Organización Administrativa Básica,monotributo_organizacion_administrativa_v0_6_publica,"comprender el régimen y ordenar comprobantes, ingresos y vencimientos",régimen simplificado; categorías; ingresos brutos; recategorización; facturación; comprobantes; vencimientos; actividad; cuota; organización administrativa,"Problema que resuelve el curso y contexto profesional | Fundamentos: régimen simplificado, categorías, ingresos brutos, recategorización | Conceptos intermedios: facturación, comprobantes, vencimientos | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Monotributo y Organización Administrativa Básica' para resolver un problema concreto.",carpeta administrativa mensual,"ARCA/AFIP Monotributo, Argentina.gob.ar"
Ruta 4 - Emprendimiento y Finanzas,Tienda Online para Principiantes,tienda_online_principiantes_v0_6_publica,"armar catálogo, medios de pago, envíos y posventa",IA generativa; modelo de lenguaje; prompt; alucinación; sesgo; privacidad; supervisión humana; automatización; riesgo; validación,"Problema que resuelve el curso y contexto profesional | Fundamentos: IA generativa, modelo de lenguaje, prompt, alucinación | Conceptos intermedios: sesgo, privacidad, supervisión humana | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Tienda Online para Principiantes' para resolver un problema concreto.",ficha de tienda online mínima,"Shopify guides, Google Merchant, Mercado Libre resources"
Ruta 4 - Emprendimiento y Finanzas,WhatsApp Business Avanzado,whatsapp_business_avanzado_v0_6_publica,"usar catálogo, etiquetas, respuestas rápidas y seguimiento",perfil comercial; catálogo; etiquetas; respuestas rápidas; seguimiento; conversación; embudo; reclamos; posventa; métricas,"Problema que resuelve el curso y contexto profesional | Fundamentos: perfil comercial, catálogo, etiquetas, respuestas rápidas | Conceptos intermedios: seguimiento, conversación, embudo | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'WhatsApp Business Avanzado' para resolver un problema concreto.",sistema comercial en WhatsApp Business,"WhatsApp Business Help Center, Meta Business Help"
Ruta 5 - Desarrollo Web y Programación,Accesibilidad Web para Principiantes,accesibilidad_web_principiantes_v0_6_publica,crear sitios utilizables por teclado y lectores de pantalla,IA generativa; modelo de lenguaje; prompt; alucinación; sesgo; privacidad; supervisión humana; automatización; riesgo; validación,"Problema que resuelve el curso y contexto profesional | Fundamentos: IA generativa, modelo de lenguaje, prompt, alucinación | Conceptos intermedios: sesgo, privacidad, supervisión humana | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Accesibilidad Web para Principiantes' para resolver un problema concreto.",auditoría básica de accesibilidad,"W3C WCAG 2.2, MDN Accessibility"
Ruta 5 - Desarrollo Web y Programación,APIs para Proyectos Web,apis_para_proyectos_web_v0_6_publica,"consumir APIs con HTTP, JSON, fetch y manejo de errores",HTTP; endpoint; JSON; métodos; códigos de estado; fetch; CORS; autenticación; errores; documentación,"Problema que resuelve el curso y contexto profesional | Fundamentos: HTTP, endpoint, JSON, métodos | Conceptos intermedios: códigos de estado, fetch, CORS | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'APIs para Proyectos Web' para resolver un problema concreto.",mini app que consume una API pública,"MDN HTTP, MDN Fetch API, REST API design resources"
Ruta 5 - Desarrollo Web y Programación,CSS Práctico para Principiantes,css_practico_principiantes_web_v0_6_publica,"maquetar interfaces con box model, flexbox, grid y responsive",IA generativa; modelo de lenguaje; prompt; alucinación; sesgo; privacidad; supervisión humana; automatización; riesgo; validación,"Problema que resuelve el curso y contexto profesional | Fundamentos: IA generativa, modelo de lenguaje, prompt, alucinación | Conceptos intermedios: sesgo, privacidad, supervisión humana | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'CSS Práctico para Principiantes' para resolver un problema concreto.",landing responsive simple,"MDN CSS, web.dev CSS"
Ruta 5 - Desarrollo Web y Programación,Git y GitHub para Proyectos Web,git_github_proyectos_web_v0_6_publica,versionar proyectos y publicarlos con flujo básico,problema central; contexto de uso; conceptos esenciales; buenas prácticas; riesgos y límites; criterios de decisión; errores frecuentes; caso práctico; actividad aplicada; evaluación,"Problema que resuelve el curso y contexto profesional | Fundamentos: problema central, contexto de uso, conceptos esenciales, buenas prácticas | Conceptos intermedios: riesgos y límites, criterios de decisión, errores frecuentes | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Git y GitHub para Proyectos Web' para resolver un problema concreto.",repositorio con README y GitHub Pages,"GitHub Docs, Git Book"
Ruta 5 - Desarrollo Web y Programación,HTML Práctico para Principiantes,html_practico_principiantes_web_v0_6_publica,"estructurar contenido semántico, accesible y mantenible",IA generativa; modelo de lenguaje; prompt; alucinación; sesgo; privacidad; supervisión humana; automatización; riesgo; validación,"Problema que resuelve el curso y contexto profesional | Fundamentos: IA generativa, modelo de lenguaje, prompt, alucinación | Conceptos intermedios: sesgo, privacidad, supervisión humana | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'HTML Práctico para Principiantes' para resolver un problema concreto.",página HTML semántica,"MDN HTML, W3C HTML standards"
Ruta 5 - Desarrollo Web y Programación,JavaScript desde Cero,javascript_desde_cero_web_v0_6_publica,"programar interacción, DOM, eventos y datos básicos",variables; funciones; arrays; objetos; DOM; eventos; condicionales; bucles; fetch; errores,"Problema que resuelve el curso y contexto profesional | Fundamentos: variables, funciones, arrays, objetos | Conceptos intermedios: DOM, eventos, condicionales | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'JavaScript desde Cero' para resolver un problema concreto.",mini aplicación interactiva,"MDN JavaScript, javascript.info"
Ruta 5 - Desarrollo Web y Programación,Publicación Web para Principiantes,publicacion_web_principiantes_v0_6_publica,publicar un sitio estático y resolver errores comunes,IA generativa; modelo de lenguaje; prompt; alucinación; sesgo; privacidad; supervisión humana; automatización; riesgo; validación,"Problema que resuelve el curso y contexto profesional | Fundamentos: IA generativa, modelo de lenguaje, prompt, alucinación | Conceptos intermedios: sesgo, privacidad, supervisión humana | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'Publicación Web para Principiantes' para resolver un problema concreto.",sitio publicado con checklist de despliegue,"GitHub Pages Docs, Netlify Docs, MDN deployment basics"
Ruta 5 - Desarrollo Web y Programación,React Básico para Principiantes,react_basico_principiantes_v0_6_publica,"crear componentes, estado, props y eventos",IA generativa; modelo de lenguaje; prompt; alucinación; sesgo; privacidad; supervisión humana; automatización; riesgo; validación,"Problema que resuelve el curso y contexto profesional | Fundamentos: IA generativa, modelo de lenguaje, prompt, alucinación | Conceptos intermedios: sesgo, privacidad, supervisión humana | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'React Básico para Principiantes' para resolver un problema concreto.",app React básica,"React Docs, Vite Docs"
Ruta 5 - Desarrollo Web y Programación,UX/UI Básico para Sitios y Apps,ux_ui_basico_sitios_apps_v0_6_publica,"diseñar flujos claros, jerarquía visual y pruebas simples",usuario; necesidad; flujo; wireframe; jerarquía visual; usabilidad; consistencia; accesibilidad; heurísticas; prueba con usuarios,"Problema que resuelve el curso y contexto profesional | Fundamentos: usuario, necesidad, flujo, wireframe | Conceptos intermedios: jerarquía visual, usabilidad, consistencia | Buenas prácticas, errores frecuentes y criterios de calidad | Caso práctico guiado adaptado a Argentina o a una PyME/comunidad | Actividad final con producción concreta y checklist de evaluación","Caso aplicado: una persona, comercio, docente, estudiante o pequeña organización usa el tema 'UX/UI Básico para Sitios y Apps' para resolver un problema concreto.",wireframe + checklist heurístico,"Nielsen Norman Group, Material Design, WCAG 2.2"
